"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"828","의원","01_01_02_P","5710000","PHMA120165710109041100018","2016-08-17","","01","영업/정상","13","영업중","","","","","043-212-0076","","","","충청북도 청주시 청원구 오창읍 2산단로 132, 2층 201~203호","28117","정희석내과의원","2020-03-13 08:43:47","U","2020-03-15 02:40:00","의원","240192.438464411","359175.000131046","의원","1","0","0","300","115 114 113 111 102 101","내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"829","의원","01_01_02_P","5710000","PHMA120165710107041100007","2016-09-28","","01","영업/정상","13","영업중","","","","","043-288-7555","","","충청북도 청주시 서원구 분평동 1430번지","충청북도 청주시 서원구 1순환로 1037, 4층 (분평동)","28798","연세비뇨기과의원","2020-03-14 03:13:58","U","2020-03-17 02:40:00","의원","243095.990018362","345227.013678808","의원","1","3","3","409.6","115 114","피부과, 비뇨의학과","","","","0","0","","","0","",
"830","의원","01_01_02_P","4400000","PHMA120054400020041100004","2005-04-23","","01","영업/정상","13","영업중","","","","","043-648-8797","","","제천시 중앙로1가 150-1","충청북도 제천시 의림대로 122 (중앙로2가)","27173","위성목신경외과의원","2025-04-25 18:25:31","U","2025-04-27 02:40:00","의원","307545.597127957","404768.728608615","의원","1","0","0","548.78","101 106 105 109 120 122 113 114 115","내과, 정형외과, 신경외과, 마취통증의학과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"831","의원","01_01_02_P","4400000","PHMA120104400020041100005","2010-08-03","","01","영업/정상","13","영업중","","","","","043-648-1641","","390-843","충청북도 제천시 수산면 수산리 610번지 8호","충청북도 제천시 수산면 월악로22길 102-26","","수산보건지소","2020-11-03 11:12:30","U","2020-11-05 02:40:00","보건지소","305363.363588048","382065.717052932","보건지소","1","0","0","369.18","602","보건지소","","","","0","0","","","0","",
"832","의원","01_01_02_P","4470000","PHMA120164470017041100003","2016-03-07","","01","영업/정상","13","영업중","","","","","043-882-3767","","","충청북도 음성군 금왕읍 무극리 524번지 29호","충청북도 음성군 금왕읍 무극로 213","27630","행복의원","2022-01-17 09:52:15","U","2022-01-19 02:40:00","의원","252058.796510824","387908.798586818","의원","1","0","0","153.15","122 115 114 109 108 106 105 101","내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"833","의원","01_01_02_P","4470000","PHMA120164470017041100004","2016-04-25","","01","영업/정상","13","영업중","","","","","043-877-2875","","","충청북도 음성군 감곡면 왕장리 462번지","충청북도 음성군 감곡면 장감로 139","27603","감곡연합치과의원","2024-05-02 23:24:47","U","2024-05-04 02:40:00","치과의원","256608.764243672","402133.458513809","치과의원","2","0","0","476.2","411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과","","","","0","0","","","0","",
"834","의원","01_01_02_P","4470000","PHMA120164470017041100005","2016-05-04","","01","영업/정상","13","영업중","","","","","043-883-9088","","","충청북도 음성군 맹동면 동성리 237번지","충청북도 음성군 맹동면 대하로 295, 201호","27738","서울혁신내과의원","2025-04-11 05:28:02","U","2025-04-13 02:40:00","의원","248545.771055425","379234.675638504","의원","2","0","0","299.33","114 113 111 109 105 101","내과, 정형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과","","","","0","0","","","0","",
"835","의원","01_01_02_P","5710000","PHMA120175710106041100001","2017-01-19","","01","영업/정상","13","영업중","","","","","043-221-2835","","","충청북도 청주시 상당구 북문로2가 29번지 14호","충청북도 청주시 상당구 상당로 102 (북문로2가)","28514","일등플란트치과의원","2023-09-14 23:16:04","U","2023-09-16 02:40:00","치과의원","243794.91845875","348584.067929167","치과의원","1","0","0","327.4","407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과","","","","0","0","","","0","",
"836","의원","01_01_02_P","4470000","PHMA120164470017041100007","2016-09-20","","01","영업/정상","13","영업중","","","","","043-878-2825","","","충청북도 음성군 금왕읍 무극리 58번지 6호","충청북도 음성군 금왕읍 무극로 276-1, 가동 5층","27634","음성자연치과의원","2023-02-23 21:52:33","U","2023-02-25 02:40:00","치과의원","252664.248499338","388035.837842041","치과의원","1","0","0","113.5","412 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 통합치의학과","","","","0","0","","","0","",
"837","의원","01_01_02_P","4470000","PHMA120174470017041100005","2017-11-22","","01","영업/정상","13","영업중","","","","","043-878-7975","","","","충청북도 음성군 맹동면 대하로 265, 202호","27738","동성한의원","2022-12-09 11:34:23","U","2023-05-26 08:48:36","한의원","248392.173514222","378985.197144386","한의원","1","0","0","119.6","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"838","의원","01_01_02_P","4430000","PHMA119834430014041100003","1983-03-03","","01","영업/정상","13","영업중","","","","","043-730-2030","","","충청북도 옥천군 안남면 연주리 408번지 3호","충청북도 옥천군 안남면 연주길 46","29010","옥천군안남면보건지소","2019-11-05 14:17:26","U","2019-11-07 02:40:00","보건지소","260324.150820394","317475.493808393","보건지소","3","0","0","2697","602","보건지소","","","","0","0","","","0","",
"839","의원","01_01_02_P","4430000","PHMA119864430014041100004","1986-02-22","","01","영업/정상","13","영업중","","","","","043-732-1877","","","","충청북도 옥천군 옥천읍 중앙로 17-24","29038","중앙의원","2023-07-14 08:44:01","U","2023-07-16 02:40:00","의원","250893.069207925","311184.639516718","의원","1","9","19","852","101 104 105 106 111 114","내과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과","","","","0","0","","","0","",
"840","의원","01_01_02_P","4430000","PHMA119864430014041100005","1986-04-10","","01","영업/정상","13","영업중","","","","","043-732-0429","","","","충청북도 옥천군 옥천읍 금장로 15","29033","혜인당중국한의원","2017-11-10 11:10:15","I","2018-08-31 23:59:59","한의원","250774.986224565","311420.720203771","한의원","1","0","0","294.5","301","한방내과","","","","0","0","","","0","",
"841","의원","01_01_02_P","4430000","PHMA119864430014041100006","1986-05-06","","01","영업/정상","13","영업중","","","","","043-732-1488","","","충청북도 옥천군 옥천읍 금구리 171-21","충청북도 옥천군 옥천읍 금장로 23","29038","장내과의원","2017-09-05 18:41:21","I","2018-08-31 23:59:59","의원","250864.017274466","311420.718841288","의원","1","0","0","294","101 111 114 102 120","내과, 신경과, 소아청소년과, 피부과, 재활의학과","","","","0","0","","","0","",
"842","의원","01_01_02_P","4430000","PHMA119864430014041100007","1986-09-15","","01","영업/정상","13","영업중","","","","","043-733-3315","","","충청북도 옥천군  옥천읍 금구리 142-5","충청북도 옥천군 옥천읍 삼금로 11, 4층 (산부인과)","29037","이산부인과의원","2019-11-05 11:20:35","U","2019-11-07 02:40:00","의원","250798.756328792","311131.361193082","의원","1","0","0","314.39","110 111 101","내과, 산부인과, 소아청소년과","","","","0","0","","","0","",
"843","의원","01_01_02_P","4430000","PHMA119884430014041100009","1988-01-01","","01","영업/정상","13","영업중","","","","","043-730-2070","","","충청북도 옥천군 이원면 강청리 91번지 7호 이원보건지소","충청북도 옥천군 이원면 신흥4길 17-1, 이원보건지소","29061","옥천군이원면보건지소","2019-11-05 14:21:55","U","2019-11-07 02:40:00","보건지소","255461.2985026","305265.263981831","보건지소","3","0","0","3606","602","보건지소","","","","0","0","","","0","",
"844","의원","01_01_02_P","5710000","PHMA120144360069041100008","2014-05-09","","01","영업/정상","13","영업중","","","","","043-217-7522","","","","충청북도 청주시 청원구 율량로 96, 6층 (주성동, 율량센터프라자)","28318","우리아이치과의원","2024-08-13 11:21:12","U","2024-08-15 02:40:00","치과의원","244322.197063493","352439.175385878","치과의원","1","0","0","176.75","405","소아치과","","","","0","0","","","0","",
"845","의원","01_01_02_P","5710000","PHMA120054360079041100034","2005-04-22","","01","영업/정상","13","영업중","","","","","236-5075","","361-810","충청북도 청주시 흥덕구 복대1동 288번지 17호","충청북도 청주시 흥덕구 대농로 48, 401호 (복대동, LK타워)","28427","서청주하나이비인후과의원","2023-10-11 09:44:11","U","2023-10-14 02:40:00","의원","238166.725054514","349014.982272571","의원","1","0","0","152.05","113 111","소아청소년과, 이비인후과","","","","0","0","","","0","",
"846","의원","01_01_02_P","5710000","PHMA120124410018041100006","2012-09-11","","01","영업/정상","13","영업중","","","","","043-214-2275","","","","충청북도 청주시 청원구 오창읍 중심상업로 27, 4층 406호 (엔젤아파빌딩)","28120","엘튼치과의원","2024-09-24 10:01:58","U","2024-09-26 02:40:00","치과의원","238273.023586858","356970.744094401","치과의원","1","0","0","157.9","402 403 406 407","구강악안면외과, 치과보철과, 치주과, 치과보존과","","","","0","0","","","0","",
"847","의원","01_01_02_P","4470000","PHMA120154470017041100002","2015-04-03","","01","영업/정상","13","영업중","","","","","043-882-5119","","","충청북도 음성군 맹동면 두성리 1470번지","충청북도 음성군 맹동면 장성4길 5, 포스사우나빌딩 303,304호","27738","한사랑가정의학과의원","2019-05-16 23:17:16","U","2019-05-18 02:40:00","의원","248582.344486521","378345.603379989","의원","1","0","0","216","122 111 101","내과, 소아청소년과, 가정의학과","","","","0","0","","","0","",
"848","의원","01_01_02_P","4400000","PHMA119884400020041100004","1988-01-01","","01","영업/정상","13","영업중","","","","","043-642-3067","","390-851","충청북도 제천시 덕산면 도전리 364번지 7호","충청북도 제천시 덕산면 약초로 82","27223","덕산보건지소","2020-11-03 11:19:26","U","2020-11-05 02:40:00","보건지소","303748.74175793","379353.132301537","보건지소","2","0","0","372.24","602","보건지소","","","","0","0","","","0","",
"849","의원","01_01_02_P","4470000","PHMA120184470017041100001","2018-01-10","","01","영업/정상","13","영업중","","","","","043-881-2879","","","충청북도 음성군 맹동면 두성리 1374","충청북도 음성군 맹동면 원중로 1416, 세계로메디컬타워 302, 303, 304호","27738","모두가 행복한 치과의원","2025-03-20 21:54:26","U","2025-03-22 02:40:00","치과의원","248310.243778458","378708.366847802","치과의원","2","0","0","463.6","411 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과","","","","0","0","","","0","",
"850","의원","01_01_02_P","4400000","PHMA119884400020041100005","1988-01-01","","01","영업/정상","13","영업중","","","","","043-652-6305","","390-882","충청북도 제천시 백운면 평동리 209번지 2호","충청북도 제천시 백운면 애련로 13","27105","백운보건지소","2020-11-03 11:27:24","U","2020-11-05 02:40:00","보건지소","291072.621712467","404471.448662836","보건지소","2","0","0","333.34","602","보건지소","","","","0","0","","","0","",
"851","의원","01_01_02_P","4400000","PHMA119854400020041100004","1985-01-25","","01","영업/정상","13","영업중","","","","","043-646-2720","","","","충청북도 제천시 의림대로 242 (청전동)","27152","제천시보건소","2020-12-21 11:14:09","U","2020-12-23 02:40:00","보건소","307948.630217368","405929.053611518","보건소","12","0","0","5193.14","","","","","","0","0","","","0","",
"852","의원","01_01_02_P","4470000","PHMA120184470017041100005","2018-07-20","","01","영업/정상","13","영업중","","","","","043-872-7724","","","충청북도 음성군 음성읍 읍내리 352번지 8호","충청북도 음성군 음성읍 시장로 53, 아우룸상가 1층 101호","27702","온가족의원","2018-08-01 14:05:20","I","2018-08-31 23:59:59","의원","261757.698166531","381439.655357963","의원","1","0","0","88.1","122 114 113 111 101","내과, 소아청소년과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"853","의원","01_01_02_P","4400000","PHMA119884400020041100006","1988-01-01","","01","영업/정상","13","영업중","","","","","043-647-4198","","390-875","충청북도 제천시 봉양읍 주포리 210번지 11호","충청북도 제천시 봉양읍 주포로8길 3-1","","봉양보건지소","2020-11-03 13:09:59","U","2020-11-05 02:40:00","보건지소","299854.279868561","403979.708015043","보건지소","2","0","0","330.44","602","보건지소","","","","0","0","","","0","",
"854","의원","01_01_02_P","4400000","PHMA119884400020041100007","1988-01-01","","01","영업/정상","13","영업중","","","","","043-644-1695","","390-813","충청북도 제천시 송학면 시곡리 1146번지 1호","충청북도 제천시 송학면 시곡포전로2길 3","","송학보건지소","2020-11-03 13:12:56","U","2020-11-05 02:40:00","보건지소","312112.695537708","409959.297906202","보건지소","2","0","0","363.06","602","보건지소","","","","0","0","","","0","",
"855","의원","01_01_02_P","4400000","PHMA119834400020041100001","1983-03-03","","01","영업/정상","13","영업중","","","","","043-648-0013","","390-832","충청북도 제천시 청풍면 물태리 133번지 99호","충청북도 제천시 청풍면 청풍호로56길 23","","청풍보건지소","2020-11-03 13:14:44","U","2020-11-05 02:40:00","보건지소","303673.687614955","389179.463502895","보건지소","2","0","0","371.94","602","보건지소","","","","0","0","","","0","",
"856","의원","01_01_02_P","4400000","PHMA119834400020041100002","1983-03-03","","01","영업/정상","13","영업중","","","","","043-641-3120","","390-862","충청북도 제천시 한수면 송계리 282번지 49호","충청북도 제천시 한수면 미륵송계로8길 23","","한수보건지소","2020-11-03 13:16:48","U","2020-11-05 02:40:00","보건지소","296337.221925171","376526.689493526","보건지소","3","0","0","329.57","602","보건지소","","","","0","0","","","0","",
"857","의원","01_01_02_P","5710000","PHMA120004360079041100067","2000-10-20","","01","영업/정상","13","영업중","","","","","043-297-7575","","","","충청북도 청주시 서원구 분평로 52 (분평동, 하얀이치과)","28800","하얀이치과의원","2024-08-14 11:40:57","U","2024-08-17 02:40:00","치과의원","243866.769106409","345345.736792877","치과의원","1","0","0","0","402 403 404 405 406 407 408 409 410 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"858","의원","01_01_02_P","5710000","PHMA120004360079041100073","2000-12-05","","01","영업/정상","13","영업중","","","","","043-236-8275","","","","충청북도 청주시 흥덕구 가경로161번길 3, 2층 (가경동)","28393","사랑이꽃피는치과의원","2025-02-28 09:24:47","U","2025-03-02 02:40:00","치과의원","238966.257093444","347621.160086748","치과의원","1","0","0","82.35","402 403 405 406 407 409 411","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 영상치의학과, 예방치과","","","","0","0","","","0","",
"859","의원","01_01_02_P","5710000","PHMA120004360079041100077","2000-12-14","","01","영업/정상","13","영업중","","","","","0432366112","","361-270","충청북도 청주시 흥덕구 복대동 49번지 4호","충청북도 청주시 흥덕구 복대로 179, 3층 (복대동, 메디포스빌딩)","28598","김충환가정의학과의원","2020-06-25 22:43:50","U","2020-06-27 02:40:00","의원","239325.076802727","347999.238185588","의원","1","0","0","313.15","122 101 111 114 109","마취통증의학과, 피부과, 소아청소년과, 내과, 가정의학과","","","","0","0","","","0","",
"860","의원","01_01_02_P","5710000","PHMA120004360079041100078","2000-12-22","","01","영업/정상","13","영업중","","","","","043-263-2227","","","","충청북도 청주시 서원구 모충로 168, 2층 (모충동)","28673","삼성가정의학과의원","2024-03-28 13:40:07","U","2024-03-30 02:40:00","의원","","","의원","1","0","0","235.42","101 105 111 113 114 122","내과, 정형외과, 소아청소년과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"861","의원","01_01_02_P","5710000","PHMA120124360079041100029","2012-08-10","","01","영업/정상","13","영업중","","","","","043-264-0006","","","","충청북도 청주시 흥덕구 직지대로 530, 219호 (송정동)","28578","BK치과의원","2024-11-21 23:45:06","U","2024-11-23 02:40:00","치과의원","240341.446430315","349202.804625565","치과의원","1","0","0","360","402 403 404 405 406 407 408 409 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"862","의원","01_01_02_P","5710000","PHMA120185710108041100004","2018-04-03","","01","영업/정상","13","영업중","","","","","043-234-2468","","","충청북도 청주시 흥덕구 복대동 42번지 5호","충청북도 청주시 흥덕구 복대로 186, 동민빌딩 5층 (복대동)","28586","온유한정신건강의학과의원","2025-03-24 09:07:34","U","2025-03-26 02:40:00","의원","239375.946357864","348083.202598751","의원","4","0","0","349.18","103","정신건강의학과","","","","0","0","","","0","",
"863","의원","01_01_02_P","5710000","PHMA120185710108041100005","2018-05-18","","01","영업/정상","13","영업중","","","","","043-273-1122","","","충청북도 청주시 흥덕구 복대동 162번지 1호","충청북도 청주시 흥덕구 내수동로 2, 10층 (복대동)","28595","연세재활의학과의원","2025-04-18 03:45:35","U","2025-04-20 02:40:00","의원","239975.388264063","348163.565387691","의원","1","1","1","305.09","126 125 124 122 121 120 119 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 직업환경의학과, 응급의학과, 예방의학과","","","","0","0","","","0","",
"864","의원","01_01_02_P","5710000","PHMA119824410018041100001","1982-01-04","","01","영업/정상","13","영업중","","","","","043-201-3560","","","충청북도 청주시 서원구 남이면 척산리 609번지 1호","충청북도 청주시 서원구 남이면 척산길 7-12","28182","남이면 보건지소","2023-01-02 10:41:23","U","2023-01-04 02:40:00","보건지소","238691.772497254","340017.294587823","보건지소","3","0","0","350.85","602","보건지소","","","","0","0","","","0","",
"865","의원","01_01_02_P","5710000","PHMA120134360079041100003","2013-02-22","","01","영업/정상","13","영업중","","","","","0432357553","","361-230","충청북도 청주시 흥덕구 성화동 717번지 (2층)","충청북도 청주시 서원구 서부로 1350, 2층 (성화동)","28614","청주365일 의원","2024-04-11 22:45:47","U","2024-04-13 02:40:00","의원","240041.629200005","346354.854604259","의원","2","0","0","228","111 122","소아청소년과, 가정의학과","","","","0","0","","","0","",
"866","의원","01_01_02_P","5710000","PHMA119854360079041100006","1985-11-04","","01","영업/정상","13","영업중","","","","","286-6933","","362-150","충청북도 청주시 서원구 수곡동 900번지","충청북도 청주시 서원구 구룡산로 237, 2층 (수곡동)","28688","김상오비뇨기과의원","2017-09-05 18:37:01","I","2018-08-31 23:59:59","의원","242111.671982744","346207.1872226","","","","","","","","","","","","","","","","",
"867","의원","01_01_02_P","5710000","PHMA120155710107041100009","2016-05-19","","01","영업/정상","13","영업중","","","","","043-276-7070","","","충청북도 청주시 서원구 사창동 252번지 14호","충청북도 청주시 서원구 사직대로 171 (사창동)","28566","연세드라마치과의원","2017-09-05 18:37:22","I","2018-08-31 23:59:59","치과의원","241647.839105799","348363.224228342","","","","","","","","","","","","","","","","",
"868","의원","01_01_02_P","5710000","PHMA120165710109041100008","2016-05-19","","01","영업/정상","13","영업중","","","","","043-215-5858","","","","충청북도 청주시 청원구 오창읍 2산단로 142, 4층 401호","28117","구인당한의원","2024-05-27 11:13:07","U","2024-05-29 02:40:00","한의원","240268.850029231","359275.847870003","한의원","1","0","0","117.1","301 302 303 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"869","의원","01_01_02_P","4400000","PHMA120094400020041100008","2009-12-07","","01","영업/정상","13","영업중","","","","","043-652-8075","","","","충청북도 제천시 풍양로 122 (남천동)","27174","약손한의원","2024-10-30 13:52:29","U","2024-11-01 02:40:00","한의원","307668.707264614","404513.373021665","한의원","1","0","0","110.44","301 302 303 304 305 306 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"870","의원","01_01_02_P","4470000","PHMA119844470017041100006","1984-10-02","","01","영업/정상","13","영업중","","","","","043-878-3930","","","충청북도 음성군 생극면 차평리 500번지 1호","충청북도 음성군 생극면 음성로 1868-5 (차평보건진료소)","27616","차평보건진료소","2015-12-09 10:22:01","I","2018-08-31 23:59:59","보건진료소","253628.737161402","394837.109877993","보건진료소","1","0","0","232.38","","","","","","0","0","","","0","",
"871","의원","01_01_02_P","5710000","PHMA120064360079041100041","2006-03-30","","01","영업/정상","13","영업중","","","","","043-272-1075","","","","충청북도 청주시 흥덕구 사운로 266 (운천동)","28467","다정한의원","2024-09-12 15:47:04","U","2024-09-14 02:40:00","한의원","242271.793412269","350147.985668369","한의원","1","0","0","0","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"872","의원","01_01_02_P","5710000","PHMA120175710108041100015","2017-12-13","","01","영업/정상","13","영업중","","","","","043-236-2005","","","충청북도 청주시 흥덕구 복대동 288-124","충청북도 청주시 흥덕구 대농로 39, LK트리플렉스 202~203호 (복대동)","28424","플러스피부과의원","2024-09-13 10:14:54","U","2024-09-15 02:40:00","의원","238091.12504653","349102.521980719","의원","1","0","0","163.24","114","피부과","","","","0","0","","","0","",
"873","의원","01_01_02_P","4430000","PHMA119874430014041100010","1987-05-04","","01","영업/정상","13","영업중","","","","","043-732-8129","","","","충청북도 옥천군 청산면 지전길 32-15 (청산보건지소)","29013","옥천군청산면보건지소","2017-09-05 18:41:21","I","2018-08-31 23:59:59","보건지소","271204.356507294","316386.893384756","보건지소","2","0","0","433","","","","","","0","0","","","0","",
"874","의원","01_01_02_P","4430000","PHMA119874430014041100011","1987-07-02","","01","영업/정상","13","영업중","","","","","043-732-6629","","","","충청북도 옥천군 안내면 현리길 66","29006","옥천군안내면보건지소","2017-09-05 18:41:21","I","2018-08-31 23:59:59","보건지소","259323.198547638","321706.494378336","보건지소","2","0","0","514","","","","","","0","0","","","0","",
"875","의원","01_01_02_P","4430000","PHMA119864430014041100009","1986-05-02","","01","영업/정상","13","영업중","","","","","043-730-2020","","","","충청북도 옥천군 동이면 평산길 14 (동이보건지소)","29024","옥천군동이면보건지소","2019-11-04 18:28:29","U","2019-11-06 02:40:00","보건지소","255587.683120653","309517.735093938","보건지소","2","0","0","548","","","","","","0","0","","","0","",
"876","의원","01_01_02_P","4430000","PHMA119834430014041100009","1983-03-03","","01","영업/정상","13","영업중","","","","","043-732-4610","","","","충청북도 옥천군 군서면 성왕로 540","29059","옥천군군서면보건지소","2017-09-05 18:41:21","I","2018-08-31 23:59:59","보건지소","247317.623036942","308884.866306192","보건지소","3","0","0","477","","","","","","0","0","","","0","",
"877","의원","01_01_02_P","4430000","PHMA119874430014041100012","1987-07-02","","01","영업/정상","13","영업중","","","","","043-732-5564","","","","충청북도 옥천군 군북면 이백길 8","29000","옥천군군북면보건지소","2017-09-05 18:41:21","I","2018-08-31 23:59:59","보건지소","247914.058688498","314497.719938539","보건지소","2","0","0","457","","","","","","0","0","","","0","",
"878","의원","01_01_02_P","4430000","PHMA120164430014041100002","2016-06-13","","01","영업/정상","13","영업중","","","","","043-731-9088","","","","충청북도 옥천군 옥천읍 삼금로 25, 2층 (소매시장)","29038","성심한의원","2019-10-01 09:21:02","U","2019-10-03 02:40:00","한의원","250872.613108694","311261.015449074","한의원","1","0","0","115.15","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"879","의원","01_01_02_P","4400000","PHMA120124400020041100003","2012-05-07","","01","영업/정상","13","영업중","","","","","043-647-3375","","","","충청북도 제천시 독순로 79, 내토메디컬센터 3층 302호 (중앙로2가)","27173","명문당한의원","2023-06-05 09:07:21","U","2023-06-08 02:40:00","한의원","307608.502633374","404803.441678547","한의원","1","0","0","196.11","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"880","의원","01_01_02_P","4400000","PHMA120124400020041100004","2012-08-13","","01","영업/정상","13","영업중","","","","","043-653-7080","","390-012","충청북도 제천시 중앙로2가 149번지","충청북도 제천시 풍양로13길 14, 4층 (중앙로2가)","27173","뉴본의원","2023-12-04 15:02:11","U","2023-12-06 02:40:00","의원","307580.718647455","404761.026623224","의원","1","0","0","198.35","108 104","외과, 성형외과","","","","0","0","","","0","",
"881","의원","01_01_02_P","5710000","PHMA120004360079041100079","2000-12-30","","01","영업/정상","13","영업중","","","","","043-233-9119","","","충청북도 청주시 흥덕구 가경동 1453번지 5호","충청북도 청주시 흥덕구 풍산로 42 (가경동, 대형빌딩)","28399","성모정형외과의원","2024-06-07 03:43:45","U","2024-06-09 02:40:00","의원","238867.827102582","347376.042666248","의원","2","7","22","611.21","104 105","외과, 정형외과","","","","0","0","","","0","",
"882","의원","01_01_02_P","5710000","PHMA120094360079041100015","2009-07-31","","01","영업/정상","13","영업중","","","","","043-232-2354","","","","충청북도 청주시 흥덕구 대농로 49, 에스와이스타몰 A동 201,202호 (복대동)","28425","청주쥬니어소아치과의원","2025-03-10 17:57:45","U","2025-03-12 02:40:00","치과의원","238209.279586088","349098.999807594","치과의원","1","0","0","204.81","405","소아치과","","","","0","0","","","0","",
"883","의원","01_01_02_P","5710000","PHMA120104360069041100002","2010-02-16","","01","영업/정상","13","영업중","","","","","043-284-1001","","","충청북도 청주시 서원구 성화동 717번지","충청북도 청주시 서원구 서부로 1350, 5층 (성화동)","28614","백승일의 참정형외과의원","2024-02-16 00:45:07","U","2024-02-18 02:40:00","의원","240041.629200005","346354.854604259","의원","2","1","2","158.6","120 109 107 106 105 102","신경과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"884","의원","01_01_02_P","5710000","PHMA120104360079041100005","2010-02-23","","01","영업/정상","13","영업중","","","","","0432397090","","","충청북도 청주시 흥덕구 복대동 288번지 124호","충청북도 청주시 흥덕구 대농로 39, LK트리플렉스 603호 (복대동)","28424","생기한의원","2023-05-05 06:43:38","U","2023-05-07 02:40:00","한의원","238091.12504653","349102.521980719","한의원","2","0","0","195","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"885","의원","01_01_02_P","4430000","PHMA120034430014041100038","2003-09-02","","01","영업/정상","13","영업중","","","","","043-731-8090","","","충청북도 옥천군 옥천읍 삼양리 222번지 221호 삼천리자전거","충청북도 옥천군 옥천읍 삼양로 84-1, 삼천리자전거","29038","금강의원","2018-10-16 08:20:58","U","2018-10-18 02:35:23","의원","251004.070905028","311573.535215439","의원","2","0","0","133","101 104 105 111 115","내과, 외과, 정형외과, 소아청소년과, 비뇨의학과","","","","0","0","","","0","",
"886","의원","01_01_02_P","4430000","PHMA120044430014041100040","2004-03-23","","01","영업/정상","13","영업중","","","","","043-732-5975","","","","충청북도 옥천군 옥천읍 삼양로 96","29038","삼성외과의원","2022-07-07 23:15:51","U","2022-07-09 02:40:00","의원","251103.677407896","311506.912978652","의원","1","0","0","481","101 104 105 106 111 114 115","내과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
